date,plate,park_location,service,arrival_time,start_handling_time,stop_handling_time,exit_time,qtime,htime,extime,dtime,loading,del_pick,del_size,pick_size,refrigerated,vehicle_type,vehicle_model,no_workers,side_company,side_postal,commodity_type,commodity_extra,number_stores,store_name1,store_floor1,store_number1,store_type1,opening1,no_branches1,link1,store_name2,store_floor2,store_number2,store_type2,opening2,no_branches2,link2,store_name3,store_floor3,store_number3,store_type3,opening3,no_branches3,link3,store_name4,store_floor4,store_number4,store_type4,opening4,no_branches4,link4,logo,employer,employer_type,reloads,stops,origin,origin_extra,morning_load,erp,start_work,stop_work,gas_refills,flex,flex_extra
24/06/15,PA9478Y,NA,GV,24/06/15 08:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,Toyota Hiace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBB3192A,NA,GV,24/06/15 08:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OpenLightTrucks,Toyota Dyna 100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,SKR2609Q,NA,service,24/06/15 08:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,NA,NA,NA,NA,service_trash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMBULANCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBC3353Y,NA,GV,24/06/15 08:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,NISSAN NP300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MICROLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YM7535M,LB,GV,24/06/15 08:19,24/06/15 08:20,24/06/15 08:36,24/06/15 08:36,1,16,0,17,2,1,0.25,0,N,ClosedLightTrucks,ISUZU NHR,1,SEO ENG JOO FROZEN FOOD,NA,prepared_food,NA,1,7-Eleven,1,05-Jun, conveniencestore, 24 Hours,289, http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=518&branchid=138255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CP,SEO ENG JOO FROZEN FOOD,OTHER,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GZ8567J,NA,GV,24/06/15 08:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,Mitsubishi MINICAB-MiEV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KFC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBB8192S,NA,GV,24/06/15 08:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,NISSAN NV350 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GT9688T,LB,GV,24/06/15 08:22,24/06/15 08:36,24/06/15 08:45,24/06/15 08:45,14,9,0,23,3,1,0.2,0,N,ClosedLightTrucks,NISSAN,1,GOODLINK,NA,NA,NA,1,Cold Storage,B1,Nov-16, supermarket, 8am to 10.30pm,59,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=119735&branchid=138255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOODLINK,GOODLINK,TRANSPORTATION/LOGISTICS,NA,20-30,NA,NA,NA,NA,NA,NA,NA,Y,NA
24/06/15,GBA7259X,NA,GV,24/06/15 08:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBC1951J,NA,GV,24/06/15 08:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LargeVans,NISSAN NV350 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FITNESSCORE-NER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
